Name,Price,Image URL
Pams Mesclun Salad,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040468.png?w=384
Pure NZ Spring Water,0.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5007226.png?w=384
Sweet Tango Apples,5.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046510.png?w=384
Cadbury Crunchie Chocolate Bar,2.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5005217.png?w=384
Nature's Fresh White Super Thick Toast Bread,3.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5026013.png?w=384
Molenberg Soy & Linseed For Vitality Toast Bread,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011933.png?w=384
Pams Tasty Flavoured Processed Cheese Slices,3.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5005483.png?w=384
Tuffy White 2 Ply Paper Towels,2..29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5260418.png?w=384
Beef Corned Silverside,17.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5118849.png?w=384
L&P Soft Drink,4.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001551.png?w=384
Freya's Dutch Wholemeal Grain Bread,4.19,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5025750.png?w=384
Copper Kettle Honey Soy Chicken Potato Chips,4.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5221249.png?w=384
Bluebird Thinly Cut Chicken Potato Chips,1..99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5034757.png?w=384
Mainland Salted Buttersoft Spreadable Butter,9..79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013505.png?w=384
Ornelle Camembert Cheese,4.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5014564.png?w=384
Snacka Changi Chips Salted Kettle Fried Potato Chips,3..29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5269376.png?w=384
Sunrise Table spread,3.09,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002667.png?w=384
